ETF代码,ETF名称,基金规模,next_crawl_index
159835,创新药ETF建信,2.97009974,440
159735,港股消费ETF银华,6.35877349,440
563690,红利低波ETF永赢,0.43396584,440
159547,红利低波ETF华夏,13.47447012,440
159391,大盘价值ETF博时,1.06981669,440
159366,港股医疗ETF永赢,2.99294682,440
560520,红利低波100ETF大成,0.13137618,440
516080,创新药ETF易方达,16.87267873,440
563020,红利低波ETF易方达,105.34944269,440
513360,教育ETF博时,3.0061739,440
159285,港股通消费ETF华安,2.41985244,440
159355,800红利低波ETF华宝,1.10916928,440
159021,大盘价值ETF华夏,2.06733388,440
159170,港股通互联网ETF永赢,3.67939388,440
159253,银行ETF博时,6.33851608,440
560150,红利低波ETF泰康,7.73625929,440
159520,消费龙头ETF工银,1.50663036,440
516210,银行ETF华安,1.22113844,440
510650,金融地产ETF华夏,0.28315823,440
516130,消费龙头ETF华宝,10.1413221,440
513800,日本东证指数ETF南方,17.50374141,440
159669,绿色电力ETF国泰,2.84582441,440
515290,银行ETF天弘,43.6101119,440
159859,生物医药ETF天弘,41.28055805,440
563890,国企红利ETF创金合信,0.281778,440
512820,银行ETF汇添富,6.67463695,440
512890,红利低波ETF华泰柏瑞,324.9874536,440
516930,生物科技ETF民生加银,0.51135658,440
563590,A500红利低波动ETF国寿,0.69570235,440
510030,价值ETF华宝,1.65658936,440
512730,银行ETF鹏华,1.16349569,440
516310,银行ETF易方达,20.82803167,440
563510,A500红利低波ETF易方达,2.89330731,440
512800,银行ETF华宝,103.6354203,440
159655,标普500ETF华夏,40.67478639,440
159708,红利ETF西部利得,1.50320834,440
159887,银行ETF富国,10.17124595,440
515100,红利低波100ETF景顺,60.84484234,440
515020,银行ETF华夏,6.5303581,440
159167,港股通医疗ETF工银,2.0254443,440
159933,金融地产ETF国投瑞银,1.02493062,440
516820,医疗创新ETF平安,17.88614535,440
562390,中药ETF银华,0.75538656,440
563180,高股息ETF银华,1.292946,440
159839,生物医药ETF汇添富,9.86332194,440
159137,港股通医疗ETF华宝,1.54550575,440
513620,港股医疗ETF银华,1.8419872,440
510230,金融ETF国泰,29.37552384,440
159502,标普生物科技ETF嘉实,16.98620605,440
159525,红利低波ETF富国,4.65385193,440
513850,美国50ETF易方达,21.20827802,440
517550,沪港深消费龙头ETF招商,0.58747232,440
561060,国企红利ETF华安,2.01273445,440
512700,银行ETF南方,9.88291679,440
515450,红利低波50ETF南方,184.35324244,440
589120,科创创新药ETF汇添富,4.8936112,440
513090,香港证券ETF易方达,200.37691665,440
520510,港股通医疗ETF华夏,1.7945376,440
562060,标普A股红利ETF华宝,37.34908945,440
159549,红利低波ETF天弘,56.10066703,440
159332,央企红利ETF富国,0.92870729,440
516500,生物科技ETF华夏,1.65849953,440
516560,养老ETF华宝,1.56524984,440
512640,金融地产ETF嘉实,0.54299616,440
159849,生物科技ETF招商,0.79174047,440
560570,A500红利ETF国联安,14.22266706,440
512070,证券保险ETF易方达,119.42197158,440
159307,红利低波100ETF博时,62.56048315,440
589720,科创创新药ETF国泰,15.39868973,440
159905,红利ETF工银,19.95849584,440
159938,医药ETF广发,44.00562387,440
517900,银行AH优选ETF招商,7.79552587,440
513630,港股低波红利ETF摩根,151.96137849,440
159263,价值ETF易方达,47.31385098,440
159940,金融地产ETF广发,5.19819282,440
561580,央企红利ETF华泰柏瑞,22.6174463,440
515300,300红利低波ETF嘉实,52.35301658,440
561680,A500红利低波ETF平安,0.6974562,440
513290,纳指生物科技ETF汇添富,14.38500981,440
159296,A500红利低波ETF华宝,0.45260211,440
159929,医药ETF汇添富,22.52862401,440
520850,港股通医疗ETF易方达,1.39492949,440
159245,港股通消费ETF富国,0.77897789,440
526050,港股通信息技术ETF招商,0.7807304,440
159837,生物科技ETF易方达,14.11268774,440
510160,产业升级ETF南方,1.79638062,440
562320,沪深300价值ETF银华,0.71331195,440
159515,国企红利ETF鹏扬,0.41834572,440
563980,800红利低波ETF鑫元,2.14479528,440
159151,食品ETF华夏,1.07415982,440
563700,红利价值ETF易方达,3.972144,440
530880,红利国企ETF银河,0.61486144,440
512750,基本面50ETF嘉实,0.69715311,440
560420,食品ETF前海开源,1.70168366,440
560700,央企红利ETF广发,4.48988054,440
510720,红利国企ETF国泰,26.15378766,440
513240,港股通信息技术ETF华安,1.09724904,440
510270,国企ETF中银,0.26534165,440
515080,中证红利ETF招商,109.17112966,440
159931,金融地产ETF汇添富,0.36887293,440
159916,基本面ETF建信,2.56615384,440
512530,沪深300红利ETF建信,1.68563136,440
513650,标普500ETF南方,76.0844928,440
520990,港股央企红利ETF景顺,45.75731938,440
517770,游戏传媒ETF浦银,1.64724105,440
510150,消费ETF招商,14.59625982,440
520900,港股通红利ETF广发,18.41105158,440
560160,食品ETF易方达,1.1350305,440
159612,标普500ETF国泰,8.81344238,440
159509,纳指科技ETF景顺,179.44438874,440
560320,食品ETF富国,1.8170042,440
561260,能源ETF工银,0.50767795,440
560070,央企红利ETF汇添富,1.55658065,440
159271,恒生ETF鹏华,0.60470941,440
520580,新兴亚洲ETF招商,2.64944548,440
560330,沪深300价值ETF申万菱信,0.2043609,440
159643,疫苗ETF国泰,1.42495859,440
515630,证券保险ETF鹏华,7.91947324,440
510010,180治理ETF交银,2.31785541,440
510090,责任ETF建信,0.6473329,440
159838,医药50ETF博时,1.54488449,440
159719,国企ETF平安,0.43513578,440
560130,食品ETF鹏华,0.70787656,440
513500,标普500ETF博时,253.95199716,440
159589,红利ETF广发,1.95578975,440
520890,港股通红利低波ETF华泰柏瑞,1.17212596,440
515180,红利ETF易方达,157.17313153,440
513950,恒生红利ETF富国,28.957489,440
515950,医药50ETF富国,5.15981325,440
517090,央企共赢ETF国泰,1.02883575,440
513980,港股科技ETF景顺,176.62019479,440
520660,港股通央企红利ETF南方,25.57282323,440
513530,港股通红利ETF华泰柏瑞,38.37417497,440
159635,基建ETF华夏,1.50930553,440
159581,红利ETF万家,14.61336803,440
562850,央企能源ETF嘉实,3.67264359,440
159302,港股高股息ETF银华,0.85539868,440
159692,证券ETF东财,13.23019451,440
159198,港股通信息技术ETF富国,0.89760364,440
513020,港股科技ETF国泰,40.25838227,440
159691,港股红利ETF工银,56.45683166,440
513150,港股通科技ETF华泰柏瑞,1.22792159,440
517180,中国国企ETF南方,1.35925443,440
560020,红利ETF汇添富,1.11616638,440
159645,疫苗ETF富国,0.37024118,440
515890,红利ETF博时,4.80261446,440
159841,证券ETF天弘,104.70880862,440
560030,800价值ETF汇添富,0.29946096,440
560090,证券ETF汇添富,27.77340794,440
512880,证券ETF国泰,545.42701206,440
510200,上证券商ETF汇安,1.75568676,440
563850,食品ETF广发,0.56757297,440
562870,证券ETF嘉实,4.08162545,440
520550,港股红利低波ETF招商,12.2174248,440
510880,红利ETF华泰柏瑞,206.10333922,440
159842,券商ETF银华,98.53838363,440
513920,港股通央企红利ETF华安,53.07142616,440
513750,港股通非银ETF广发,191.16839326,440
513860,港股通科技ETF海富通,31.32489374,440
159260,证券ETF博时,8.46326857,440
159750,港股科技50ETF招商,14.9815643,440
159131,港股通信息技术ETF华宝,13.49032856,440
159545,恒生红利低波ETF易方达,70.0936339,440
159945,能源ETF广发,1.26764509,440
516980,证券先锋ETF华富,0.52328096,440
515850,证券ETF富国,3.75943654,440
159336,央企红利ETF融通,4.58545441,440
159788,港股通100ETF易方达,1.36483908,440
516730,证券ETF浦银,0.92921048,440
159747,香港科技ETF南方,4.67979245,440
513820,港股通红利ETF汇添富,25.26967232,440
159657,疫苗ETF鹏华,0.97875506,440
159016,证券ETF广发,2.46822686,440
159127,港股通红利ETF南方,1.90051899,440
159569,港股红利低波ETF景顺,4.67042859,440
526000,港股通信息技术ETF华夏,0.91037712,440
159008,证券ETF景顺,1.89985003,440
159266,港股央企红利ETF永赢,4.18967344,440
520790,港股通互联网ETF兴业,3.03869482,440
159277,港股通红利ETF富国,0.67322985,440
513560,香港科技ETF兴银,7.64447094,440
561790,央企能源ETF博时,0.87991848,440
561960,央企回报ETF招商,0.69831204,440
159333,港股央企红利ETF万家,3.61615384,440
159118,港股通红利低波ETF华夏,0.79386188,440
516200,证券ETF华安,3.48020148,440
512000,券商ETF华宝,357.90339269,440
159930,能源ETF汇添富,11.88908234,440
513190,港股通金融ETF华夏,20.27552304,440
512900,证券ETF南方,68.46729944,440
520820,恒指港股通ETF汇添富,0.64246804,440
159751,港股通科技ETF鹏华,10.87755632,440
159993,证券ETF鹏华,36.29249346,440
