日期，开盘，最高，最低，收盘，成交量，成交额，振幅，涨跌幅，涨跌额，换手率，IOPV，折价率，溢价率，ETF 代码，ETF 名称，爬取时间,日期,开盘,最高,最低,收盘,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,IOPV,折价率,溢价率,ETF代码,ETF名称,爬取时间
,2025-06-05,1.0045,1.0083,0.9997,1.0016,15759000.0,15784058.9,0.0,0.0,,0.0,0.0,0.0,0.0,159307,红利低波100ETF博时,2026-06-05 09:50:18
,2025-06-06,1.0035,1.0054,1.0025,1.0045,6082700.0,6109777.95,0.29,0.29,0.0029,0.0,0.0,0.0,0.0,159307,红利低波100ETF博时,2026-06-05 09:50:18
,2025-06-09,1.0045,1.0073,1.0025,1.0073,6640200.0,6688763.04,0.47,0.28,0.0029,0.0,0.0,0.0,0.0,159307,红利低波100ETF博时,2026-06-05 09:50:18
,2025-06-10,1.0054,1.0111,1.0035,1.0073,13507120.0,13605904.19,0.76,0.0,0.0,0.0,0.0,0.0,0.0,159307,红利低波100ETF博时,2026-06-05 09:50:18
,2025-06-11,1.0073,1.013,1.0073,1.0102,12880200.0,13011255.9,0.57,0.28,0.0029,0.0,0.0,0.0,0.0,159307,红利低波100ETF博时,2026-06-05 09:50:18
,2025-06-12,1.0102,1.0121,1.0073,1.0111,13067900.0,13213332.94,0.47,0.09,0.001,0.0,0.0,0.0,0.0,159307,红利低波100ETF博时,2026-06-05 09:50:18
,2025-06-13,1.0111,1.0121,1.0035,1.0054,14664700.0,14743970.7,0.85,-0.57,-0.0057,0.0,0.0,0.0,0.0,159307,红利低波100ETF博时,2026-06-05 09:50:18
,2025-06-16,1.0025,1.0045,1.0006,1.0045,12590800.0,12646849.61,0.38,-0.09,-0.001,0.0,0.0,0.0,0.0,159307,红利低波100ETF博时,2026-06-05 09:50:18
,2025-06-17,1.0025,1.0045,1.0006,1.0035,6377800.0,6400108.52,0.38,-0.09,-0.001,0.0,0.0,0.0,0.0,159307,红利低波100ETF博时,2026-06-05 09:50:18
,2025-06-18,1.0035,1.0045,0.9978,1.0035,10947800.0,10986093.64,0.67,0.0,0.0,0.0,0.0,0.0,0.0,159307,红利低波100ETF博时,2026-06-05 09:50:18
,2025-06-19,1.0025,1.0025,0.994,0.9968,21656300.0,21587442.71,0.86,-0.67,-0.0067,0.0,0.0,0.0,0.0,159307,红利低波100ETF博时,2026-06-05 09:50:18
