日期，开盘，最高，最低，收盘，成交量，成交额，振幅，涨跌幅，涨跌额，换手率，IOPV，折价率，溢价率，ETF 代码，ETF 名称，爬取时间,日期,开盘,最高,最低,收盘,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,IOPV,折价率,溢价率,ETF代码,ETF名称,爬取时间
,2025-06-05,0.62,0.62,0.607,0.61,25348601.0,15462646.97,0.0,0.0,,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-06-06,0.611,0.615,0.607,0.611,12273000.0,7498803.02,1.31,0.16,0.001,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-06-09,0.609,0.621,0.608,0.619,21485100.0,13299277.28,2.13,1.31,0.008,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-06-10,0.619,0.621,0.612,0.617,19414500.0,11978746.19,1.45,-0.32,-0.002,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-06-11,0.617,0.628,0.616,0.627,33512900.0,21012587.44,1.94,1.62,0.01,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-06-12,0.625,0.625,0.619,0.622,19738100.0,12277097.79,0.96,-0.8,-0.005,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-06-13,0.622,0.622,0.613,0.616,51050400.0,31447046.23,1.45,-0.96,-0.006,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-06-16,0.615,0.615,0.61,0.612,14451701.0,8844440.85,0.81,-0.65,-0.004,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-06-17,0.613,0.617,0.61,0.613,24164600.0,14812899.21,1.14,0.16,0.001,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-06-18,0.613,0.613,0.604,0.606,23192900.0,14054897.54,1.47,-1.14,-0.007,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-06-19,0.604,0.606,0.597,0.6,29561700.0,17737020.7,1.49,-0.99,-0.006,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-06-20,0.6,0.603,0.599,0.599,13853600.0,8298306.08,0.67,-0.17,-0.001,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-06-23,0.599,0.6,0.595,0.6,15420800.0,9252480.37,0.83,0.17,0.001,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-06-24,0.6,0.606,0.599,0.605,16032900.0,9699904.81,1.17,0.83,0.005,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-06-25,0.605,0.608,0.602,0.608,24436300.0,14857269.92,0.99,0.5,0.003,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-06-26,0.606,0.607,0.603,0.606,15757600.0,9549105.7,0.66,-0.33,-0.002,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-06-27,0.605,0.607,0.603,0.605,12808600.0,7749203.24,0.66,-0.17,-0.001,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-06-30,0.605,0.607,0.602,0.607,13398502.0,8132890.62,0.83,0.33,0.002,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-07-01,0.608,0.611,0.606,0.61,19698400.0,12016024.28,0.82,0.49,0.003,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-07-02,0.61,0.615,0.609,0.615,20352001.0,12516480.81,0.98,0.82,0.005,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-07-03,0.615,0.621,0.613,0.617,23133800.0,14273554.22,1.3,0.33,0.002,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-07-04,0.617,0.62,0.615,0.618,21308000.0,13168343.38,0.81,0.16,0.001,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-07-07,0.617,0.62,0.615,0.618,22493100.0,13900735.15,0.81,0.0,0.0,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-07-08,0.618,0.622,0.614,0.622,27891400.0,17348450.21,1.29,0.65,0.004,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-07-09,0.622,0.625,0.62,0.622,31416901.0,19541311.76,0.8,0.0,0.0,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-07-10,0.625,0.627,0.62,0.623,17450401.0,10871600.27,1.13,0.16,0.001,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-07-11,0.623,0.63,0.622,0.625,43232400.0,27020250.0,1.28,0.32,0.002,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-07-14,0.626,0.629,0.623,0.626,16059900.0,10053497.19,0.96,0.16,0.001,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-07-15,0.624,0.628,0.617,0.621,18658205.0,11586745.15,1.76,-0.8,-0.005,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-07-16,0.619,0.625,0.616,0.625,44537381.0,27835863.12,1.45,0.64,0.004,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-07-17,0.623,0.631,0.623,0.629,16619600.0,10453728.53,1.28,0.64,0.004,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-07-18,0.629,0.63,0.625,0.628,9330409.0,5859497.05,0.79,-0.16,-0.001,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-07-21,0.629,0.642,0.628,0.641,45529801.0,29184601.2,2.23,2.07,0.013,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-07-22,0.64,0.655,0.638,0.653,210306102.0,137329884.0,2.65,1.87,0.012,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-07-23,0.657,0.665,0.648,0.649,96204302.0,62436590.94,2.6,-0.61,-0.004,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-07-24,0.646,0.651,0.642,0.651,35645202.0,23205027.32,1.39,0.31,0.002,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-07-25,0.649,0.654,0.647,0.649,38556000.0,25022843.58,1.08,-0.31,-0.002,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-07-28,0.648,0.654,0.645,0.648,41391901.0,26821951.93,1.39,-0.15,-0.001,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-07-29,0.647,0.647,0.635,0.641,44304600.0,28399247.4,1.85,-1.08,-0.007,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-07-30,0.641,0.649,0.638,0.643,32002502.0,20577609.0,1.72,0.31,0.002,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-07-31,0.643,0.644,0.631,0.634,28242302.0,17905619.56,2.02,-1.4,-0.009,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-08-01,0.635,0.639,0.631,0.633,18217000.0,11531361.3,1.26,-0.16,-0.001,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-08-04,0.633,0.638,0.63,0.637,17530334.0,11166823.18,1.26,0.63,0.004,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-08-05,0.637,0.643,0.636,0.642,15334000.0,9844428.3,1.1,0.78,0.005,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-08-06,0.641,0.644,0.639,0.644,12074300.0,7775849.13,0.78,0.31,0.002,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-08-07,0.644,0.645,0.639,0.643,16438702.0,10570085.5,0.93,-0.16,-0.001,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-08-08,0.643,0.648,0.642,0.646,37900408.0,24483664.62,0.93,0.47,0.003,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-08-11,0.648,0.65,0.644,0.649,20421200.0,13253358.58,0.93,0.46,0.003,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-08-12,0.647,0.656,0.646,0.646,24866800.0,16063953.49,1.54,-0.46,-0.003,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-08-13,0.646,0.649,0.642,0.646,20733208.0,13393652.94,1.08,0.0,0.0,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-08-14,0.648,0.649,0.638,0.639,23331603.0,14908894.28,1.7,-1.08,-0.007,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-08-15,0.638,0.645,0.637,0.645,24028003.0,15498061.48,1.25,0.94,0.006,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-08-18,0.649,0.649,0.644,0.648,29781000.0,19298088.06,0.78,0.47,0.003,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-08-19,0.648,0.652,0.646,0.65,24701100.0,16055714.41,0.93,0.31,0.002,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-08-20,0.646,0.652,0.644,0.651,27040402.0,17603302.32,1.23,0.15,0.001,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-08-21,0.655,0.665,0.655,0.659,49643105.0,32714805.18,1.54,1.23,0.008,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-08-22,0.665,0.665,0.653,0.659,42589001.0,28066150.79,1.82,0.0,0.0,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-08-25,0.66,0.665,0.656,0.664,46890501.0,31135291.48,1.37,0.76,0.005,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-08-26,0.665,0.687,0.661,0.681,78294697.0,53318688.21,3.92,2.56,0.017,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-08-27,0.679,0.683,0.666,0.666,49112602.0,32708993.35,2.5,-2.2,-0.015,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-08-28,0.667,0.669,0.649,0.658,191811001.0,126211637.19,3.0,-1.2,-0.008,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-08-29,0.659,0.669,0.659,0.664,80251200.0,53286794.77,1.52,0.91,0.006,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-09-01,0.663,0.668,0.659,0.663,39910700.0,26460793.61,1.36,-0.15,-0.001,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-09-02,0.663,0.666,0.655,0.658,33019600.0,21726896.55,1.66,-0.75,-0.005,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-09-03,0.658,0.662,0.643,0.644,35794701.0,23051787.22,2.89,-2.13,-0.014,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-09-04,0.644,0.653,0.642,0.648,38087800.0,24680894.47,1.71,0.62,0.004,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-09-05,0.648,0.654,0.642,0.654,28958504.0,18938861.16,1.85,0.93,0.006,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-09-08,0.659,0.675,0.657,0.674,61334000.0,41339117.52,2.75,3.06,0.02,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-09-09,0.677,0.677,0.666,0.671,47354700.0,31775003.88,1.63,-0.45,-0.003,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-09-10,0.666,0.671,0.661,0.669,33274800.0,22260842.18,1.49,-0.3,-0.002,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-09-11,0.67,0.69,0.67,0.687,224082702.0,153944811.04,2.99,2.69,0.018,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-09-12,0.684,0.69,0.682,0.686,187462400.0,128599204.43,1.16,-0.15,-0.001,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-09-15,0.685,0.7,0.683,0.699,84056300.0,58755353.78,2.48,1.9,0.013,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-09-16,0.699,0.699,0.679,0.69,60511300.0,41752796.86,2.86,-1.29,-0.009,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-09-17,0.688,0.691,0.679,0.683,64268900.0,43895660.51,1.74,-1.01,-0.007,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
,2025-09-18,0.683,0.684,0.665,0.67,61690200.0,41332435.03,2.78,-1.9,-0.013,0.0,0.0,0.0,0.0,159867,养殖ETF鹏华,2026-06-05 10:03:53
