日期,开盘,最高,最低,收盘,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,IOPV,折价率,溢价率,ETF代码,ETF名称,爬取时间
2026-05-15,1.0001,1.0001,1.0001,1.0001,0,0.0,0.0,0.0,,0.0,0,0.0,0,560830,电力ETF华夏,2026-06-05 09:41:39
2026-05-22,0.9871,0.9871,0.9871,0.9871,0,0.0,0.0,-1.3,-0.013,0.0,0,0.0,0,560830,电力ETF华夏,2026-06-05 09:41:39
2026-05-25,1.0068,1.0068,1.0068,1.0068,0,0.0,0.0,2.0,0.0197,0.0,0,0.0,0,560830,电力ETF华夏,2026-06-05 09:41:39
2026-05-26,1.002,1.013,0.992,1.007,272716900,274625909.98,2.09,0.02,0.0002,0.0,0,0.0,0,560830,电力ETF华夏,2026-06-05 09:41:39
2026-05-27,1.011,1.025,1.0,1.019,162291700,165375250.97,2.48,1.19,0.012,0.0,0,0.0,0,560830,电力ETF华夏,2026-06-05 09:41:39
2026-05-28,1.025,1.047,1.015,1.034,136870900,141524515.95,3.14,1.47,0.015,0.0,0,0.0,0,560830,电力ETF华夏,2026-06-05 09:41:39
2026-05-29,1.035,1.07,1.027,1.067,160231400,170966908.84,4.16,3.19,0.033,0.0,0,0.0,0,560830,电力ETF华夏,2026-06-05 09:41:39
2026-06-01,1.075,1.081,1.036,1.08,154607200,166975782.64,4.22,1.22,0.013,0.0,0,0.0,0,560830,电力ETF华夏,2026-06-05 09:41:39
2026-06-02,1.072,1.073,1.054,1.068,92648000,98948060.2,1.76,-1.11,-0.012,0.0,0,0.0,0,560830,电力ETF华夏,2026-06-05 09:41:39
2026-06-03,1.061,1.088,1.042,1.076,110251800,118630934.07,4.31,0.75,0.008,0.0,0,0.0,0,560830,电力ETF华夏,2026-06-05 09:41:39
2026-06-04,,,,,256400,,0.0,0.0,,0.0,0,0.0,0,560830,电力ETF华夏,2026-06-05 09:41:39
