日期,开盘,最高,最低,收盘,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,IOPV,折价率,溢价率,ETF代码,ETF名称,爬取时间
2022-03-07,5.146,5.146,4.983,5.036,12700.0,63957.2,3.27,-2.14,-0.11,0.0,0.0,0.0,0.0,159916.0,159916,2026/4/27 12:13:23
2022-03-08,5.066,5.068,4.851,4.856,37300.0,181128.8,4.47,-3.57,-0.18,0.0,0.0,0.0,0.0,159916.0,159916,2026/4/27 12:13:23
2022-03-09,4.856,4.877,4.611,4.754,10710.0,50915.34,5.77,-2.1,-0.1,0.0,0.0,0.0,0.0,159916.0,159916,2026/4/27 12:13:23
2022-03-10,4.77,4.861,4.769,4.769,36200.0,172637.8,1.93,0.32,0.02,0.0,0.0,0.0,0.0,159916.0,159916,2026/4/27 12:13:23
2022-03-11,4.68,5.233,4.613,4.8,20928.0,100454.4,13.44,0.65,0.03,0.0,0.0,0.0,0.0,159916.0,159916,2026/4/27 12:13:23
2022-03-14,4.849,4.849,4.747,4.77,7600.0,36252.0,2.15,-0.63,-0.03,0.0,0.0,0.0,0.0,159916.0,159916,2026/4/27 12:13:23
2022-03-15,4.611,4.837,4.441,4.441,57400.0,254913.4,8.92,-6.9,-0.33,0.0,0.0,0.0,0.0,159916.0,159916,2026/4/27 12:13:23
2022-03-16,4.549,4.65,4.392,4.639,20800.0,96491.2,5.87,4.46,0.2,0.0,0.0,0.0,0.0,159916.0,159916,2026/4/27 12:13:23
2022-03-17,4.783,4.783,4.648,4.656,2800.0,13036.8,2.9,0.37,0.02,0.0,0.0,0.0,0.0,159916.0,159916,2026/4/27 12:13:23
2022-03-18,4.738,4.795,4.65,4.795,4600.0,22057.0,3.12,2.99,0.14,0.0,0.0,0.0,0.0,159916.0,159916,2026/4/27 12:13:23
2022-03-21,4.897,4.897,4.71,4.785,11800.0,56463.0,3.97,-0.21,-0.01,0.0,0.0,0.0,0.0,159916.0,159916,2026/4/27 12:13:23
2022-03-22,4.681,4.86,4.681,4.763,23000.0,109549.0,3.82,-0.46,-0.02,0.0,0.0,0.0,0.0,159916.0,159916,2026/4/27 12:13:23
2022-03-23,4.763,4.868,4.763,4.868,22500.0,109530.0,2.2,2.2,0.11,0.0,0.0,0.0,0.0,159916.0,159916,2026/4/27 12:13:23
