日期，开盘，最高，最低，收盘，成交量，成交额，振幅，涨跌幅，涨跌额，换手率，IOPV，折价率，溢价率，ETF 代码，ETF 名称，爬取时间,日期,开盘,最高,最低,收盘,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,IOPV,折价率,溢价率,ETF代码,ETF名称,爬取时间
,2025-06-05,1.175,1.189,1.132,1.15,623773031.0,717338970.78,0.0,0.0,,0.0,0.0,0.0,0.0,159217,港股通创新药ETF工银,2026-06-05 09:38:18
,2025-06-06,1.149,1.176,1.137,1.176,571515903.0,672102701.38,3.39,2.26,0.026,0.0,0.0,0.0,0.0,159217,港股通创新药ETF工银,2026-06-05 09:38:18
,2025-06-09,1.191,1.243,1.166,1.228,686396840.0,842895350.29,6.55,4.42,0.052,0.0,0.0,0.0,0.0,159217,港股通创新药ETF工银,2026-06-05 09:38:18
,2025-06-10,1.234,1.294,1.226,1.267,1051681059.0,1332479859.63,5.54,3.18,0.039,0.0,0.0,0.0,0.0,159217,港股通创新药ETF工银,2026-06-05 09:38:18
,2025-06-11,1.278,1.297,1.255,1.267,660850919.0,837298087.9,3.31,0.0,0.0,0.0,0.0,0.0,0.0,159217,港股通创新药ETF工银,2026-06-05 09:38:18
,2025-06-12,1.267,1.336,1.263,1.334,976395131.0,1302511096.37,5.76,5.29,0.067,0.0,0.0,0.0,0.0,159217,港股通创新药ETF工银,2026-06-05 09:38:18
,2025-06-13,1.34,1.364,1.281,1.3,986959810.0,1283047705.94,6.22,-2.55,-0.034,0.0,0.0,0.0,0.0,159217,港股通创新药ETF工银,2026-06-05 09:38:18
,2025-06-16,1.302,1.326,1.274,1.285,678371688.0,871707596.44,4.0,-1.15,-0.015,0.0,0.0,0.0,0.0,159217,港股通创新药ETF工银,2026-06-05 09:38:18
,2025-06-17,1.299,1.314,1.217,1.219,761790656.0,928622795.86,7.55,-5.14,-0.066,0.0,0.0,0.0,0.0,159217,港股通创新药ETF工银,2026-06-05 09:38:18
,2025-06-18,1.217,1.236,1.208,1.227,474482322.0,582189808.19,2.3,0.66,0.008,0.0,0.0,0.0,0.0,159217,港股通创新药ETF工银,2026-06-05 09:38:18
,2025-06-19,1.235,1.251,1.178,1.188,755341655.0,897345858.77,5.95,-3.18,-0.039,0.0,0.0,0.0,0.0,159217,港股通创新药ETF工银,2026-06-05 09:38:18
,2025-06-20,1.196,1.205,1.181,1.191,460022000.0,547886194.98,2.02,0.25,0.003,0.0,0.0,0.0,0.0,159217,港股通创新药ETF工银,2026-06-05 09:38:18
,2025-06-23,1.186,1.236,1.175,1.235,719675700.0,888799499.8,5.12,3.69,0.044,0.0,0.0,0.0,0.0,159217,港股通创新药ETF工银,2026-06-05 09:38:18
,2025-06-24,1.245,1.271,1.223,1.261,652419200.0,822700635.47,3.89,2.11,0.026,0.0,0.0,0.0,0.0,159217,港股通创新药ETF工银,2026-06-05 09:38:18
,2025-06-25,1.275,1.294,1.261,1.27,602161100.0,764744585.51,2.62,0.71,0.009,0.0,0.0,0.0,0.0,159217,港股通创新药ETF工银,2026-06-05 09:38:18
,2025-06-26,1.262,1.262,1.226,1.233,460215200.0,567445360.03,2.83,-2.91,-0.037,0.0,0.0,0.0,0.0,159217,港股通创新药ETF工银,2026-06-05 09:38:18
,2025-06-27,1.238,1.243,1.215,1.217,748698800.0,911166445.31,2.27,-1.3,-0.016,0.0,0.0,0.0,0.0,159217,港股通创新药ETF工银,2026-06-05 09:38:18
,2025-06-30,1.221,1.243,1.207,1.242,590174000.0,732996098.43,2.96,2.05,0.025,0.0,0.0,0.0,0.0,159217,港股通创新药ETF工银,2026-06-05 09:38:18
,2025-07-01,1.243,1.288,1.241,1.276,318089000.0,405881571.28,3.78,2.74,0.034,0.0,0.0,0.0,0.0,159217,港股通创新药ETF工银,2026-06-05 09:38:18
