日期,开盘,最高,最低,收盘,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,IOPV,折价率,溢价率,ETF代码,ETF名称,爬取时间
2026-04-30,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,,0.0,0,0.0,0,560460,电力ETF平安,2026-06-05 09:40:20
2026-05-08,1.0063,1.0063,1.0063,1.0063,0,0.0,0.0,0.63,0.0063,0.0,0,0.0,0,560460,电力ETF平安,2026-06-05 09:40:20
2026-05-14,1.0128,1.0128,1.0128,1.0128,0,0.0,0.0,0.65,0.0065,0.0,0,0.0,0,560460,电力ETF平安,2026-06-05 09:40:20
2026-05-15,1.003,1.018,0.988,1.003,84648300,84902246.68,2.96,-0.97,-0.0098,0.0,0,0.0,0,560460,电力ETF平安,2026-06-05 09:40:20
2026-05-18,1.004,1.012,0.999,1.006,26042600,26198856.69,1.3,0.3,0.003,0.0,0,0.0,0,560460,电力ETF平安,2026-06-05 09:40:20
2026-05-19,1.001,1.049,0.998,1.045,91468800,95584892.07,5.07,3.88,0.039,0.0,0,0.0,0,560460,电力ETF平安,2026-06-05 09:40:20
2026-05-20,1.043,1.043,0.994,0.997,52347900,52190855.2,4.69,-4.59,-0.048,0.0,0,0.0,0,560460,电力ETF平安,2026-06-05 09:40:20
2026-05-21,0.997,1.007,0.981,0.984,32572400,32051242.49,2.61,-1.3,-0.013,0.0,0,0.0,0,560460,电力ETF平安,2026-06-05 09:40:20
2026-05-22,0.985,0.996,0.971,0.987,16932300,16712179.91,2.54,0.3,0.003,0.0,0,0.0,0,560460,电力ETF平安,2026-06-05 09:40:20
2026-05-25,0.985,1.008,0.985,1.008,25145600,25346765.21,2.33,2.13,0.021,0.0,0,0.0,0,560460,电力ETF平安,2026-06-05 09:40:20
2026-05-26,1.009,1.015,0.997,1.01,23133300,23364632.78,1.79,0.2,0.002,0.0,0,0.0,0,560460,电力ETF平安,2026-06-05 09:40:20
2026-05-27,1.01,1.026,0.999,1.019,29972100,30541571.5,2.67,0.89,0.009,0.0,0,0.0,0,560460,电力ETF平安,2026-06-05 09:40:20
2026-05-28,1.02,1.048,1.013,1.032,59238600,61134231.98,3.43,1.28,0.013,0.0,0,0.0,0,560460,电力ETF平安,2026-06-05 09:40:20
2026-05-29,1.032,1.073,1.027,1.067,75736400,80810741.18,4.46,3.39,0.035,0.0,0,0.0,0,560460,电力ETF平安,2026-06-05 09:40:20
2026-06-01,1.071,1.083,1.037,1.081,40997700,44318512.49,4.31,1.31,0.014,0.0,0,0.0,0,560460,电力ETF平安,2026-06-05 09:40:20
2026-06-02,1.07,1.074,1.053,1.07,22302200,23863355.17,1.94,-1.02,-0.011,0.0,0,0.0,0,560460,电力ETF平安,2026-06-05 09:40:20
2026-06-03,1.054,1.088,1.044,1.076,31503400,33897657.62,4.11,0.56,0.006,0.0,0,0.0,0,560460,电力ETF平安,2026-06-05 09:40:20
2026-06-04,,,,,33900,,0.0,0.0,,0.0,0,0.0,0,560460,电力ETF平安,2026-06-05 09:40:20
