日期,开盘,最高,最低,收盘,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,IOPV,折价率,溢价率,ETF代码,ETF名称,爬取时间
2026-04-27,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,,0.0,0,0.0,0,513240,港股通信息技术ETF华安,2026-06-05 09:51:52
2026-04-30,1.0015,1.0015,1.0015,1.0015,0,0.0,0.0,0.15,0.0015,0.0,0,0.0,0,513240,港股通信息技术ETF华安,2026-06-05 09:51:52
2026-05-07,1.0409,1.0409,1.0409,1.0409,0,0.0,0.0,3.93,0.0394,0.0,0,0.0,0,513240,港股通信息技术ETF华安,2026-06-05 09:51:52
2026-05-08,1.02,1.026,1.011,1.025,164369600,168478836.08,1.44,-1.53,-0.0159,0.0,0,0.0,0,513240,港股通信息技术ETF华安,2026-06-05 09:51:52
2026-05-11,1.043,1.056,1.035,1.05,73107700,76763081.51,2.05,2.44,0.025,0.0,0,0.0,0,513240,港股通信息技术ETF华安,2026-06-05 09:51:52
2026-05-12,1.052,1.052,1.019,1.029,28145100,28961309.13,3.14,-2.0,-0.021,0.0,0,0.0,0,513240,港股通信息技术ETF华安,2026-06-05 09:51:52
2026-05-13,1.022,1.043,1.01,1.04,34156600,35522862.7,3.21,1.07,0.011,0.0,0,0.0,0,513240,港股通信息技术ETF华安,2026-06-05 09:51:52
2026-05-14,1.066,1.066,1.019,1.026,17843700,18307636.61,4.52,-1.35,-0.014,0.0,0,0.0,0,513240,港股通信息技术ETF华安,2026-06-05 09:51:52
2026-05-15,1.032,1.039,0.989,0.996,42931100,42759375.25,4.87,-2.92,-0.03,0.0,0,0.0,0,513240,港股通信息技术ETF华安,2026-06-05 09:51:52
2026-05-18,0.993,1.009,0.988,0.99,19024400,18834156.18,2.11,-0.6,-0.006,0.0,0,0.0,0,513240,港股通信息技术ETF华安,2026-06-05 09:51:52
2026-05-19,0.99,0.99,0.966,0.988,25908100,25597202.17,2.42,-0.2,-0.002,0.0,0,0.0,0,513240,港股通信息技术ETF华安,2026-06-05 09:51:52
2026-05-20,0.991,1.017,0.986,1.014,46982900,47640663.33,3.14,2.63,0.026,0.0,0,0.0,0,513240,港股通信息技术ETF华安,2026-06-05 09:51:52
2026-05-21,1.03,1.038,1.0,1.002,50873600,50975345.89,3.75,-1.18,-0.012,0.0,0,0.0,0,513240,港股通信息技术ETF华安,2026-06-05 09:51:52
2026-05-22,1.026,1.062,1.018,1.061,71374500,75728343.75,4.39,5.89,0.059,0.0,0,0.0,0,513240,港股通信息技术ETF华安,2026-06-05 09:51:52
2026-05-25,1.071,1.114,1.064,1.107,91415700,101197179.29,4.71,4.34,0.046,0.0,0,0.0,0,513240,港股通信息技术ETF华安,2026-06-05 09:51:52
2026-05-26,1.114,1.135,1.098,1.121,133359200,149495670.07,3.34,1.26,0.014,0.0,0,0.0,0,513240,港股通信息技术ETF华安,2026-06-05 09:51:52
2026-05-27,1.14,1.154,1.113,1.116,145506600,162385373.79,3.66,-0.45,-0.005,0.0,0,0.0,0,513240,港股通信息技术ETF华安,2026-06-05 09:51:52
2026-05-28,1.117,1.14,1.113,1.132,200286900,226724764.69,2.42,1.43,0.016,0.0,0,0.0,0,513240,港股通信息技术ETF华安,2026-06-05 09:51:52
2026-05-29,1.159,1.189,1.146,1.149,176883000,203238575.6,3.8,1.5,0.017,0.0,0,0.0,0,513240,港股通信息技术ETF华安,2026-06-05 09:51:52
2026-06-01,1.152,1.186,1.145,1.15,114424900,131588632.27,3.57,0.09,0.001,0.0,0,0.0,0,513240,港股通信息技术ETF华安,2026-06-05 09:51:52
2026-06-02,1.163,1.183,1.152,1.17,96038200,112364689.88,2.7,1.74,0.02,0.0,0,0.0,0,513240,港股通信息技术ETF华安,2026-06-05 09:51:52
2026-06-03,1.17,1.195,1.158,1.169,161049200,188266519.56,3.16,-0.09,-0.001,0.0,0,0.0,0,513240,港股通信息技术ETF华安,2026-06-05 09:51:52
2026-06-04,,,,,6121600,,0.0,0.0,,0.0,0,0.0,0,513240,港股通信息技术ETF华安,2026-06-05 09:51:52
