日期,开盘,最高,最低,收盘,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,IOPV,折价率,溢价率,ETF代码,ETF名称,爬取时间
2026-05-13,0.992,0.999,0.99,0.999,44622800,44578177.77,0.0,0.0,,0.0,0,0.0,0,560320,食品ETF富国,2026-06-05 09:52:38
2026-05-14,1.001,1.001,0.988,0.992,19926600,19767186.88,1.3,-0.7,-0.007,0.0,0,0.0,0,560320,食品ETF富国,2026-06-05 09:52:38
2026-05-15,0.987,0.99,0.976,0.98,11572800,11341344.22,1.41,-1.21,-0.012,0.0,0,0.0,0,560320,食品ETF富国,2026-06-05 09:52:38
2026-05-18,0.976,0.976,0.968,0.974,8141700,7930015.61,0.82,-0.61,-0.006,0.0,0,0.0,0,560320,食品ETF富国,2026-06-05 09:52:38
2026-05-19,0.974,0.982,0.971,0.977,8390100,8197127.68,1.13,0.31,0.003,0.0,0,0.0,0,560320,食品ETF富国,2026-06-05 09:52:38
2026-05-20,0.977,0.977,0.968,0.97,8505900,8250723.24,0.92,-0.72,-0.007,0.0,0,0.0,0,560320,食品ETF富国,2026-06-05 09:52:38
2026-05-21,0.97,0.975,0.949,0.949,10758000,10209342.01,2.68,-2.16,-0.021,0.0,0,0.0,0,560320,食品ETF富国,2026-06-05 09:52:38
2026-05-22,0.949,0.956,0.946,0.951,5072400,4823852.27,1.05,0.21,0.002,0.0,0,0.0,0,560320,食品ETF富国,2026-06-05 09:52:38
2026-05-25,0.948,0.953,0.943,0.947,9183700,8696964.15,1.05,-0.42,-0.004,0.0,0,0.0,0,560320,食品ETF富国,2026-06-05 09:52:38
2026-05-26,0.944,0.947,0.937,0.943,10944000,10320192.2,1.06,-0.42,-0.004,0.0,0,0.0,0,560320,食品ETF富国,2026-06-05 09:52:38
2026-05-27,0.939,0.941,0.92,0.935,14521300,13577415.53,2.23,-0.85,-0.008,0.0,0,0.0,0,560320,食品ETF富国,2026-06-05 09:52:38
2026-05-28,0.928,0.935,0.918,0.922,19598600,18069909.02,1.82,-1.39,-0.013,0.0,0,0.0,0,560320,食品ETF富国,2026-06-05 09:52:38
2026-05-29,0.922,0.944,0.921,0.935,11993100,11213548.53,2.49,1.41,0.013,0.0,0,0.0,0,560320,食品ETF富国,2026-06-05 09:52:38
2026-06-01,0.935,0.945,0.93,0.944,8459200,7985484.85,1.6,0.96,0.009,0.0,0,0.0,0,560320,食品ETF富国,2026-06-05 09:52:38
2026-06-02,0.941,0.941,0.927,0.927,8560900,7935954.18,1.48,-1.8,-0.017,0.0,0,0.0,0,560320,食品ETF富国,2026-06-05 09:52:38
2026-06-03,0.927,0.927,0.911,0.915,7781500,7120072.67,1.73,-1.29,-0.012,0.0,0,0.0,0,560320,食品ETF富国,2026-06-05 09:52:38
2026-06-04,0.915,0.918,0.896,0.902,12206100,11009902.32,2.4,-1.42,-0.013,0.0,0,0.0,0,560320,食品ETF富国,2026-06-05 09:52:38
