日期，开盘，最高，最低，收盘，成交量，成交额，振幅，涨跌幅，涨跌额，换手率，IOPV，折价率，溢价率，ETF 代码，ETF 名称，爬取时间,日期,开盘,最高,最低,收盘,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,IOPV,折价率,溢价率,ETF代码,ETF名称,爬取时间
,2025-06-05,0.987,0.9889,0.9831,0.986,31478078.0,31037566.95,0.0,0.0,,0.0,0.0,0.0,0.0,159221,现金流ETF嘉实,2026-06-05 10:03:19
,2025-06-06,0.987,0.9909,0.987,0.9889,28481593.0,28165939.8,0.39,0.3,0.0029,0.0,0.0,0.0,0.0,159221,现金流ETF嘉实,2026-06-05 10:03:19
,2025-06-09,0.9918,0.9967,0.9879,0.9957,25857411.0,25746498.51,0.88,0.69,0.0068,0.0,0.0,0.0,0.0,159221,现金流ETF嘉实,2026-06-05 10:03:19
,2025-06-10,0.9957,0.9967,0.9841,0.9889,33059865.0,32693472.14,1.27,-0.68,-0.0068,0.0,0.0,0.0,0.0,159221,现金流ETF嘉实,2026-06-05 10:03:19
,2025-06-11,0.9899,0.9986,0.9899,0.9967,41626968.0,41488809.53,0.88,0.79,0.0078,0.0,0.0,0.0,0.0,159221,现金流ETF嘉实,2026-06-05 10:03:19
,2025-06-12,0.9918,0.9996,0.9918,0.9977,40232283.0,40137798.18,0.78,0.1,0.001,0.0,0.0,0.0,0.0,159221,现金流ETF嘉实,2026-06-05 10:03:19
,2025-06-13,1.0015,1.0015,0.9899,0.9899,33795568.0,33453815.55,1.17,-0.78,-0.0078,0.0,0.0,0.0,0.0,159221,现金流ETF嘉实,2026-06-05 10:03:19
,2025-06-16,0.9928,0.9957,0.9889,0.9889,19268192.0,19054648.24,0.69,-0.1,-0.001,0.0,0.0,0.0,0.0,159221,现金流ETF嘉实,2026-06-05 10:03:19
,2025-06-17,0.9977,0.9977,0.987,0.9889,33604007.0,33231583.57,1.08,0.0,0.0,0.0,0.0,0.0,0.0,159221,现金流ETF嘉实,2026-06-05 10:03:19
,2025-06-18,0.9899,0.9928,0.985,0.9879,27335176.0,27005695.0,0.79,-0.1,-0.001,0.0,0.0,0.0,0.0,159221,现金流ETF嘉实,2026-06-05 10:03:19
